qssv01_Parts
("B11", "1stPart", 0.00025257760431431813, 0.0006549114726983679, "2ndPart", 0.004423560483997121, 0.005120773190674531)
("B12", "1stPart", 0.00028637326723888985, 0.0005606524453623641, "2ndPart", 0.6493780296790721, 0.0008544760051707883)
("B13", "1stPart", 0.001255275654930748, 0.0007266245572977926, "2ndPart", 7.908858017997198, 0.0009902100553044178)
("B14", "1stPart", 0.00022861040013868295, 0.0005791623467477374, "2ndPart", 0.006316709369040589, 0.001023713849033389)
("B15", "1stPart", 0.0003027595888285583, 0.0018827274429422303, "2ndPart", 0.0004954535947169298, 0.001772105771479504)
("B21", "1stPart", 0.0002905899789732995, 0.000908548169115764, "2ndPart", 0.0013720116434548998, 0.0008962780789897107)
("B22", "1stPart", 0.00025225606277029294, 0.0008878825921513945, "2ndPart", 0.0031357587479052935, 0.0006553662047631277)
("B23", "1stPart", 0.0008172559524937592, 0.0007497517000065111, "2ndPart", 0.04328363825580775, 0.000883168380360909)
("B24", "1stPart", 0.00033057828919429334, 0.0011246035803159906, "2ndPart", 0.001549114310812943, 0.0013172964041879864)
("B25", "1stPart", 0.000266354371197308, 0.0012079967208566676, "2ndPart", 0.00020391646614909497, 0.0014349292625436623)
("B31", "1stPart", 0.00019476100802341903, 0.0005070456905284695, "2ndPart", 0.003179664116613024, 0.03270102388634229)
("B32", "1stPart", 0.0002650912850006348, 0.000668597184180732, "2ndPart", 0.1299620628709948, 0.00046036188790660507)
("B33", "1stPart", 0.0006904496844876626, 0.0006265804572454788, "2ndPart", 3.7842055923751197, 0.0006123040775658511)
("B34", "1stPart", 0.00023108746665662037, 0.00048650539888736344, "2ndPart", 0.007128292829668383, 0.0013185024017256018)
("B35", "1stPart", 0.0003405054361253349, 0.0008794296633074685, "2ndPart", 0.0003861406252946992, 0.0013328797934271065)
