qssv01
("B11", 0.00025266634034801715, 0.0006549714242911079)
("B12", 0.0009440631109259149, 0.0008441235048722944)
("B13", 0.010585241650783605, 0.0009854328310790615)
("B14", 0.00022880069747234963, 0.000582207795037422)
("B15", 0.0004886313315158598, 0.0017762036067805892)
("B21", 0.0003085890336506829, 0.0009084821270240382)
("B22", 0.00036709688227711337, 0.0006681848791325704)
("B23", 0.0038714080970150442, 0.0008762362418248957)
("B24", 0.00034783780066609986, 0.0011285167373947394)
("B25", 0.00020777222688193452, 0.0014240188212630584)
("B31", 0.00019479137392900935, 0.0005078819323279364)
("B32", 0.00030272903562391566, 0.0004663513245177434)
("B33", 0.003915959775642057, 0.00061259247059937)
("B34", 0.00023122607382780163, 0.0005416843682520089)
("B35", 0.00038428900420992067, 0.0013166307513262816)
